video_id,sentiment
svj_6w0EUz4,0.0
_gdxrkwpPKc,0.0
EICp1vGlh_U,0.0
8h5fdMS07ug,0.0
4JbdKWsHeLI,0.0
n4TAQF6ocLU,0.0
dwgsbZ1MsAE,0.0
miVlHcdjaWM,0.0
57kVvE97nI4,0.0
cfmpnGV0IGc,0.0
drqhlcJCqw8,0.0
mmRO3J6IJC8,-0.3182
X2gQeV18mOk,-0.4404
ryGQ45RBBhg,0.0
0yHuCjQ5pUA,-0.4767
Y2esl0yVFXE,0.0
wQRibSsdgQY,0.0
6ofjZH80y3g,0.0
WOqxuVVbTrQ,0.0
In6NVLANvLc,-0.25
TkUs6B9DE_k,0.0
2LJ8nBgEA2Q,0.0
2rDu_VUpoJ8,0.0
R_5Ls0eylh0,0.0
QFqaBuFtigQ,-0.7717
z15OKP203G0,0.0
iK4DqtXu7uA,0.0
ZkjG9ih2-w4,0.0
GQT-RRqLeH8,0.0
O0-pF3dvM4Q,-0.3182
Dx8JKitp7zk,-0.5574
R9lxFfOgFtM,0.0
pCqwaGM3wTg,0.0
yEL7KtQ673w,0.1779
XRwrN_Iqp8Q,0.0
oz7yDU1FmJQ,0.0
6mGohbqdcT8,-0.3818
MAuAou_sops,0.0
XiOp-XFa3O0,0.0
1QhLW1A70G8,0.4939
gFQvnZOGvNg,0.0
IiyVFrKSRMU,0.0
bQ1LuHNJWgw,0.0
F8ix4Y2FIv0,0.0
ngElSkVYLFc,0.3182
lr9JJbCc44o,0.0
o3OtFva33Ck,0.0
_x26q2lWg3M,0.0
a0N_DpQNeuo,-0.3818
BPbxBMbX-IQ,0.0
s6rJOdzTpxk,0.0
VuBRVGxgCdw,0.0
-zPwXyQxwDk,0.0
7sGK33uTOpU,-0.5994
CoCrE7bA8NI,0.0
Hdx4JsDIsWs,0.0
ufKusK6dQI8,0.0
yMU6pr2N28M,0.0
l1V73yIlTww,-0.4939
8WLOy5zuLJA,-0.3182
AOawTrPfoJU,-0.3818
-Nuf9uh7TPU,-0.2263
i5JPr7Mjfbg,-0.4588
q2CzWT-2Do8,-0.5719
hnIlzCZjh2o,0.0
7JjHNj37cl0,0.0
SybEMMiH4mQ,0.0
LpOQ7qAUxxs,0.2732
BIJf6tMNgq4,-0.3818
ZuvhrXM3v7U,0.0
HN_ox2RBn3o,-0.5106
RKq7nP08e08,-0.3182
vlLfYu3BQCg,0.0
vLBapXx9sTs,0.0
0w8Awc2nc0w,-0.296
kPUHTImIqkk,0.0
f8HeR2ARKBY,0.0
coL1uedveZE,0.0
z-SffJkUt_U,0.0
uF6B5ar4FgI,0.0
xUt2I75wQEk,-0.5423
oCya-XjjBsc,0.0
nP9ynWoT1QY,0.0
dQTnV0E91fY,0.0
DYwPwRpXtWU,-0.3818
f0tN_AA0EKw,-0.1779
i2PJNfOFNLk,0.0
KajzZPKPsrY,-0.4019
k5LO_b3k6a8,0.2023
IpIUklDBLHE,0.0
_CwGy392gFE,0.0
4xfFUgVK5AY,0.0
nY3CuLwGUx0,0.2263
8u2en1Fwwas,-0.4939
qeT8-V3wrgs,-0.1027
eBzt6vhseww,0.0
mxpsFMu4Dx0,-0.4767
9wtn-JbJNbM,0.0
raM-F94QPpI,0.0
YZJVLiUQKqA,-0.1027
hqYs97FG6ZU,-0.4939
4dW5HP3mQ_s,0.0
r9L9sZhuFus,0.0
qq8YkVg-KAc,-0.3182
plfn0d7s2CE,-0.4939
e3b6JT0kiLU,-0.5574
zuMvutNEqso,0.0
tzLcqDk7kjg,-0.3182
fFNVsmJWndo,0.0
9pET0JPW6bo,-0.5106
6xMGRAhZAes,-0.1779
ALZY1PAa2p8,-0.4404
UD8A81Vhh4Y,0.0
8sGbLdAt0LY,0.0
cejZKnURf0w,0.0
Kgx49-lJrYA,0.0
WxUggD7LDqQ,-0.2023
TS_nPhsMw0w,-0.6249
1SSn1XZ1abs,-0.5859
q8XWnXP4jFY,0.5106
HXmaEJ3Yd_I,0.0516
KtJ3s6YECAc,-0.3182
lIMPQPNmYEE,-0.6597
Xf0Yt8ToaAI,0.0
Q6NHK6mgy_A,0.0
