video_id,sentiment
lQ7T70ILMFc,0.0
WnWPXZ6vQB8,0.34
tQxT3PYW1Ts,0.5859
YEoCBnQwdzM,0.6369
QcZWd75Ph4Q,0.34
v68zYyaEmEA,0.34
srqPnVckJEk,0.34
1ppny7Y8Bh4,0.0
AQtMRBMw7NM,0.8225
fRed0Xmc2Wg,0.6369
cfX4a7jl1yU,0.7096
eQArIhZG0yU,0.34
IhugmviyP1g,0.0772
FuAUDI7RN30,0.0
yN1FzrAsVnc,0.6369
f1BLsjjAlB4,0.0
xtP7uKON62M,0.0
AwrQ_6Ahjcs,0.0
RzK4DK-eZAI,0.0
qwCHAnrA_io,-0.34
Ue5AirUGmsI,0.6705
u0Bl2-LIXE0,0.0
ywh4zIpIS5A,0.0
2fjJFOKZ40U,0.0
0j1adhdv2EQ,-0.34
3B5Y_xLrYS0,0.5859
_utBLnIXRKQ,0.6369
EXniQMpzgeI,0.0
Dk18cgAjPpI,0.0
J1wYh1Uzssg,0.5267
J88iSfZgz-o,0.34
n3D_pOGcrmM,0.34
aNXQRanfrQ8,-0.4767
2rOmObSA3Lw,0.4404
l2BRqWcrHlU,0.5423
1M2Y3E4gSVI,0.4404
l92g6Yy8t5g,0.0
i5jGjmsTAuM,0.0
WrPkBhqROg0,0.0
AQGckZcGZfg,0.7845
rm_oVRaDnf4,-0.1779
bwUMdBPOb38,-0.296
QF47ZetCzH8,0.0
BoXO8Coe-8U,-0.1531
J0fWtrsogYQ,0.25
yQWflLSk1no,0.0
2baZ9mCWw00,0.5267
igBJgOEyHtQ,0.2023
mInvUk3QpTU,0.0
pIZd6iFjpb4,0.0
-ItgrxBx3ng,0.0
Jm_Tom5RNYI,0.0
K0ZDZj2LrLo,0.25
UL0NMNuvAQk,-0.5267
YUn20FvYl6s,0.0
_eThA5S7bPc,0.0
2fF6T9yhdYk,0.25
yNAOAkVuIdU,0.0
4rGhqZF3jTI,0.0
G9_Oj7GAIf0,0.0
ae3HiW5SCjE,0.0
NjiQbL6AvtA,0.0
C7Ev0QYL1w0,0.0
DjBC-OLYViA,0.0
e4k_fCjlPCI,0.25
sGxQxuCmbuE,0.6249
1yVgXg85U3E,0.25
1GLdOMvc9ZE,0.0
PEqzxM7I96Q,0.0
QZ21ey0RPSA,0.0
v5xJgIF1vNA,0.0
fnqHTsiBdzQ,0.0
Fen-Weo-ZnM,-0.4168
2TQWPx2ardc,0.2023
HR5DFiisgzw,0.7096
0cMDAe5CUKQ,0.0
oN79UFM0iNw,0.0
s1aUdWiHrco,0.0
pYF95GuNLbA,-0.296
bqUDMSLDELk,0.0
Vv36PMDG4zA,0.0
dTVu7XU2o9E,0.0
nfvSddMkDUI,0.0
uvbURZHyAt0,-0.4767
9est_pDuZXI,0.5267
rR76XWsrOlE,-0.4019
VlOqM_kPDXU,0.0
psIUwR3M0tU,0.0
BxzfgBe3Itk,0.25
OyN8_BKsZso,0.0
lv4Zg-209MY,0.34
qllNZAfYLw8,0.0
DnDbpNXyRrE,0.25
luUSISk_YWw,0.25
OhxZY2n3tWQ,0.4019
eHR4shpFVMM,0.0
KxiQ2sOyiKc,0.6369
m6BXTTmvKhw,0.0
hZZNWxJ92vk,0.0
_6jdc7E-Pt0,0.25
AHNVAshDo98,0.5719
68AWOK_Y3OM,-0.4404
TnMe32l9Usc,0.25
fT_DqyZOAgk,0.0
fkfz-SneeQc,0.5267
lJ7MKiccxHE,0.4215
Vd3y4PFQbXU,0.2732
tJuFQ9FiAdw,0.0
7jL6cBsxst8,0.0
nAwhGdFKX8Q,0.0
0nDReyAiwD0,0.25
vn1mKvoe6As,-0.4588
jqTuu7xZV_w,0.0
